date,open,high,low,close,volume
2025-08-11 09:15:00,24378.25,24405.15,24347.45,24402.00,9000000
2025-08-11 09:20:00,24401.50,24419.15,24399.00,24408.75,4510000
2025-08-11 09:25:00,24408.90,24428.40,24397.60,24402.40,3800000
2025-08-11 09:30:00,24401.45,24419.90,24361.40,24419.90,4020000
2025-08-11 09:35:00,24418.15,24419.00,24372.90,24376.05,3090000
2025-08-11 09:40:00,24376.80,24390.05,24367.45,24380.85,3130000
2025-08-11 09:45:00,24381.25,24384.55,24356.15,24357.90,3280000
2025-08-11 09:50:00,24356.85,24396.35,24356.85,24395.75,3380000
2025-08-11 09:55:00,24395.50,24405.65,24392.55,24401.25,7390000
2025-08-11 10:00:00,24399.80,24415.65,24399.80,24410.75,2750000
2025-08-11 10:05:00,24411.05,24414.25,24396.80,24402.40,2430000
2025-08-11 10:15:00,24410.45,24425.95,24404.35,24421.10,2150000
2025-08-11 10:20:00,24421.40,24435.05,24406.25,24432.55,2070000
2025-08-11 10:25:00,24433.70,24442.15,24431.60,24441.45,2490000
2025-08-11 10:30:00,24441.35,24452.95,24428.80,24445.75,3100000
2025-08-11 10:35:00,24445.90,24460.00,24443.75,24458.70,2430000
2025-08-11 10:40:00,24458.10,24460.20,24446.45,24449.10,2490000
2025-08-11 10:45:00,24448.80,24457.00,24443.40,24448.75,3420000
2025-08-11 10:50:00,24448.80,24467.80,24446.45,24462.15,3980000
2025-08-11 10:55:00,24462.25,24465.25,24449.30,24454.85,2970000
2025-08-11 11:00:00,24454.65,24463.80,24448.95,24450.45,2770000
2025-08-11 11:05:00,24450.80,24461.40,24450.15,24455.60,2680000
2025-08-11 11:10:00,24454.15,24454.35,24425.35,24442.35,2650000
2025-08-11 11:15:00,24442.70,24462.75,24435.95,24461.25,1980000
2025-08-11 11:20:00,24461.60,24475.20,24458.90,24469.90,2380000
2025-08-11 11:25:00,24470.15,24474.45,24459.05,24461.55,1920000
2025-08-11 11:30:00,24461.95,24467.50,24443.65,24444.15,2880000
2025-08-11 11:35:00,24444.50,24444.65,24421.25,24428.00,3500000
2025-08-11 11:40:00,24428.60,24429.60,24416.85,24417.90,2100000
2025-08-11 11:45:00,24417.40,24424.35,24409.65,24413.65,1810000
2025-08-11 11:50:00,24414.15,24419.90,24402.10,24409.50,2570000
2025-08-11 11:55:00,24409.95,24426.90,24408.70,24423.70,1610000
2025-08-11 12:00:00,24423.80,24437.75,24421.10,24426.10,2110000
2025-08-11 12:05:00,24426.30,24439.15,24424.45,24432.30,1730000
2025-08-11 12:10:00,24429.80,24451.55,24429.80,24445.60,1890000
2025-08-11 12:15:00,24445.90,24453.90,24435.75,24438.25,3430000
2025-08-11 12:20:00,24437.55,24446.15,24434.45,24443.65,3140000
2025-08-11 12:25:00,24443.50,24449.85,24439.80,24445.60,1570000
2025-08-11 12:30:00,24445.85,24446.80,24429.05,24431.60,2620000
2025-08-11 12:35:00,24431.55,24456.70,24430.30,24455.85,2760000
2025-08-11 12:40:00,24455.65,24463.35,24453.05,24460.95,1870000
2025-08-11 12:45:00,24460.65,24466.80,24458.55,24462.95,1750000
2025-08-11 12:50:00,24462.85,24478.75,24459.75,24476.90,1680000
2025-08-11 12:55:00,24477.65,24481.05,24466.95,24475.90,1590000
2025-08-11 13:00:00,24476.25,24507.40,24475.40,24482.90,3890000
2025-08-11 13:05:00,24482.45,24486.75,24470.35,24475.55,2220000
2025-08-11 13:10:00,24476.00,24477.20,24463.60,24475.30,1780000
2025-08-11 13:15:00,24475.20,24481.55,24468.75,24473.35,1550000
2025-08-11 13:20:00,24473.20,24480.40,24467.90,24474.00,1920000
2025-08-11 13:25:00,24473.90,24501.45,24473.65,24484.85,3870000
2025-08-11 13:30:00,24485.30,24498.95,24482.35,24496.70,2710000
2025-08-11 13:35:00,24496.40,24505.55,24493.50,24504.60,1470000
2025-08-11 13:40:00,24504.20,24508.90,24499.60,24505.80,1700000
2025-08-11 13:45:00,24505.65,24518.15,24501.90,24516.05,1670000
2025-08-11 13:50:00,24515.20,24518.25,24495.00,24504.90,2890000
2025-08-11 13:55:00,24506.10,24522.50,24501.05,24518.20,5250000
2025-08-11 14:00:00,24520.65,24534.85,24520.25,24530.30,4320000
2025-08-11 14:05:00,24531.60,24541.95,24531.60,24535.85,2710000
2025-08-11 14:10:00,24538.05,24543.30,24529.55,24537.00,2100000
2025-08-11 14:15:00,24539.45,24546.30,24524.20,24536.20,2690000
2025-08-11 14:20:00,24537.25,24538.75,24526.60,24535.90,2040000
2025-08-11 14:25:00,24537.40,24543.55,24535.60,24542.55,2430000
2025-08-11 14:30:00,24542.75,24573.00,24542.75,24566.00,3470000
2025-08-11 14:35:00,24569.05,24583.65,24557.50,24570.60,3860000
2025-08-11 14:40:00,24572.00,24573.85,24550.90,24555.95,3340000
2025-08-11 14:45:00,24557.00,24581.85,24556.40,24576.70,4830000
2025-08-11 14:50:00,24577.05,24581.65,24570.70,24577.75,2830000
2025-08-11 14:55:00,24577.35,24579.80,24570.95,24578.05,3230000
2025-08-11 15:00:00,24578.55,24590.95,24575.00,24586.85,5550000
2025-08-11 15:05:00,24586.20,24600.85,24586.20,24596.65,5200000
2025-08-11 15:10:00,24597.55,24598.65,24584.10,24585.35,5680000
2025-08-11 15:15:00,24585.95,24587.05,24573.60,24573.90,8150000
2025-08-11 15:20:00,24574.30,24587.15,24570.25,24575.90,6540000
2025-08-11 15:25:00,24575.60,24575.60,24544.55,24560.45,7930000
