date,open,high,low,close,change,vwap,volume
2025-11-21 09:15:00,26126.15,26142.15,26094.45,26138.75,-58.65 (-0.22%),26125.12,11450000
2025-11-21 09:20:00,26136.50,26161.85,26125.95,26159.05,20.30 (-0.08%),26132.01,4660000
2025-11-21 09:25:00,26159.70,26169.95,26156.20,26158.20,-0.85 (-0.00%),26138.06,4160000
2025-11-21 09:30:00,26158.55,26174.00,26149.05,26151.35,-6.85 (-0.03%),26141.47,4150000
2025-11-21 09:35:00,26151.70,26153.40,26139.70,26147.50,-3.85 (-0.01%),26142.04,2880000
2025-11-21 09:40:00,26147.95,26159.25,26129.15,26131.30,-16.20 (-0.06%),26141.84,2810000
2025-11-21 09:45:00,26129.90,26130.15,26112.35,26121.60,-9.70 (-0.04%),26140.05,2880000
2025-11-21 09:50:00,26120.60,26123.95,26109.05,26109.15,-12.45 (-0.03%),26138.39,2230000
2025-11-21 09:55:00,26109.45,26120.35,26093.45,26119.40,10.25 (-0.04%),26135.54,2570000
2025-11-21 10:00:00,26119.80,26120.70,26092.10,26094.30,-25.10 (-0.108%),26133.58,3570000
2025-11-21 10:05:00,26094.15,26096.95,26084.65,26086.50,-7.80 (-0.033%),26130.90,2670000
2025-11-21 10:10:00,26086.90,26096.50,26080.65,26087.40,-0.90 (-0.028%),26128.85,2230000
2025-11-21 10:15:00,26088.00,26088.00,26065.10,26067.30,-20.10 (-0.088%),26126.30,2240000
2025-11-21 10:20:00,26066.10,26069.90,26059.95,26068.45,1.15 (-0.008%),26123.30,2490000
2025-11-21 10:25:00,26068.55,26074.80,26061.20,26068.15,-0.30 (-0.026%),26120.58,2640000
2025-11-21 10:30:00,26068.00,26075.00,26062.45,26069.55,1.40 (-0.018%),26117.30,3640000
2025-11-21 10:35:00,26067.60,26079.75,26099.95,26076.15,6.60 (-0.033%),26115.14,2870000
2025-11-21 10:40:00,26075.55,26076.65,26068.80,26071.55,-4.60 (-0.028%),26113.78,1980000
2025-11-21 10:45:00,26071.85,26077.00,26064.25,26075.75,4.20 (-0.02%),26112.39,2150000
2025-11-21 10:50:00,26075.70,26078.25,26061.10,26069.20,-6.95 (-0.03%),26111.15,1920000
2025-11-21 10:55:00,26069.10,26094.15,26065.30,26093.95,24.75 (-0.09%),26110.48,1710000
2025-11-21 11:00:00,26093.30,26095.35,26084.85,26085.70,-8.25 (-0.03%),26109.70,2510000
2025-11-21 11:05:00,26084.95,26085.85,26064.80,26083.35,-2.35 (-0.01%),26108.74,2210000
2025-11-21 11:10:00,26083.45,26110.55,26083.40,26106.70,23.35 (-0.09%),26108.53,1800000
2025-11-21 11:15:00,26107.20,26108.15,26098.65,26099.55,-7.15 (-0.03%),26108.39,1680000
2025-11-21 11:20:00,26100.45,26101.20,26087.15,26090.20,-9.35 (-0.04%),26107.86,2690000
2025-11-21 11:25:00,26090.15,26105.20,26081.20,26103.00,12.80 (+0.05%),26107.53,2330000
2025-11-21 11:30:00,26103.20,26104.20,26079.95,26085.70,-17.30 (-0.07%),26106.96,2730000
2025-11-21 11:35:00,26085.43,26097.65,26085.10,26090.90,5.20 (+0.02%),26105.57,2120000
