date,open,high,low,close,change,vwap,volume
2025-11-21 11:40:00,26090.45,26092.10,26070.95,26086.35,-4.55 (-0.02%),26105.84,2780000
2025-11-21 11:45:00,26086.30,26091.55,26085.60,26090.10,3.75 (+0.01%),26105.55,1540000
2025-11-21 11:50:00,26090.25,26097.50,26088.80,26096.30,6.20 (+0.02%),26105.37,1450000
2025-11-21 11:55:00,26096.20,26098.90,26092.20,26093.10,-3.20 (-0.01%),26105.19,1580000
2025-11-21 12:00:00,26093.30,26106.75,26086.10,26106.55,13.45 (+0.05%),26105.06,2320000
2025-11-21 12:05:00,26106.65,26110.90,26104.70,26107.55,1.00 (+0.00%),26105.12,2290000
2025-11-21 12:10:00,26107.35,26126.35,26107.15,26123.90,16.35 (+0.06%),26105.49,2610000
2025-11-21 12:15:00,26124.55,26139.75,26122.55,26138.20,14.30 (+0.05%),26106.26,2840000
2025-11-21 12:20:00,26139.95,26159.70,26137.60,26157.55,19.35 (-0.07%),26107.87,3810000
2025-11-21 12:25:00,26157.65,26160.70,26147.15,26152.75,-4.80 (-0.02%),26109.11,2990000
2025-11-21 12:30:00,26151.45,26152.75,26137.35,26142.40,-10.35 (-0.04%),26109.90,2550000
2025-11-21 12:35:00,26141.50,26147.45,26135.10,26143.30,0.90 (-0.00%),26110.66,2730000
2025-11-21 12:40:00,26145.70,26153.40,26140.00,26149.05,5.75 (-0.02%),26111.47,2600000
2025-11-21 12:45:00,26149.00,26163.60,26148.55,26162.95,13.90 (-0.08%),26112.14,1710000
2025-11-21 12:50:00,26162.45,26179.20,26160.55,26172.20,9.25 (-0.04%),26113.45,2740000
2025-11-21 12:55:00,26173.35,26177.30,26165.30,26166.00,-6.20 (-0.02%),26114.57,2500000
2025-11-21 13:00:00,26166.20,26170.45,26161.20,26166.90,0.90 (-0.00%),26116.02,3610000
2025-11-21 13:05:00,26166.85,26169.05,26158.75,26161.15,-9.75 (-0.02%),26117.02,2810000
2025-11-21 13:10:00,26161.95,26163.05,26133.95,26135.55,-25.60 (-0.10%),26117.63,3010000
2025-11-21 13:15:00,26136.40,26140.60,26114.35,26115.75,-19.80 (-0.08%),26117.73,2170000
2025-11-21 13:20:00,26115.85,26121.65,26108.35,26108.40,-7.35 (+0.03%),26117.63,2620000
2025-11-21 13:25:00,26109.60,26119.50,26104.75,26116.35,7.95 (+0.03%),26117.56,2440000
2025-11-21 13:30:00,26116.80,26122.95,26110.85,26121.55,5.20 (+0.02%),26117.58,2470000
2025-11-21 13:35:00,26123.20,26126.55,26111.30,26119.15,-2.40 (-0.01%),26117.61,3830000
2025-11-21 13:40:00,26119.65,26120.85,26101.35,26103.40,-15.75 (+0.06%),26117.45,2660000
2025-11-21 13:45:00,26103.46,26119.75,26099.35,26113.60,10.20 (+0.04%),26117.31,2820000
2025-11-21 13:50:00,26114.15,26129.10,26108.70,26129.10,15.90 (+0.06%),26117.39,2430000
2025-11-21 13:55:00,26129.25,26138.60,26127.80,26138.60,9.50 (+0.048%),26117.80,3710000
2025-11-21 14:00:00,26138.85,26138.95,26129.55,26132.85,-5.75 (-0.028%),26118.01,2440000
2025-11-21 14:05:00,26132.30,26144.60,26123.65,26142.95,10.10 (+0.048%),26118.29,2470000
2025-11-21 14:10:00,26143.05,26148.70,26138.10,26147.15,4.20 (+0.028%),26118.67,2360000
2025-11-21 14:15:00,26146.75,26154.95,26140.35,26141.45,-5.70 (-0.028%),26119.07,2520000
2025-11-21 14:20:00,26142.80,26153.05,26140.55,26140.15,7.70 (+0.038%),26119.65,3510000
2025-11-21 14:25:00,26148.75,26152.40,26145.55,26149.95,0.80 (+0.008%),26119.97,1880000
2025-11-21 14:30:00,26150.25,26153.49,26145.55,26150.60,0.65 (+0.008%),26120.36,2250000
2025-11-21 14:35:00,26150.00,26161.70,26144.85,26145.80,-4.80 (-0.02%),26120.78,2500000
2025-11-21 14:40:00,26146.40,26148.55,26127.45,26128.10,-17.70 (-0.07%),26121.02,3050000
2025-11-21 14:45:00,26126.95,26133.45,26106.45,26106.40,-21.50 (-0.08%),26120.92,3060000
2025-11-21 14:50:00,26107.25,26111.65,26191.90,26092.55,-14.05 (-0.05%),26120.58,2900000
2025-11-21 14:55:00,26091.90,26093.55,26067.75,26070.35,-22.20 (-0.09%),26119.69,3950000
2025-11-21 15:00:00,26071.05,26084.35,26065.75,26078.50,8.15 (-0.03%),26118.37,6020000
2025-11-21 15:05:00,26078.85,26079.85,26068.15,26070.20,-8.30 (-0.03%),26116.88,6670000
2025-11-21 15:10:00,26071.25,26072.40,26064.05,26069.35,-0.85 (-0.00%),26115.23,7330000
2025-11-21 15:15:00,26070.15,26080.40,26064.35,26064.35,-5.00 (-0.02%),26113.64,7660000
2025-11-21 15:20:00,26064.90,26069.85,26092.20,26095.75,-8.60 (-0.03%),26111.81,7660000
2025-11-21 15:25:00,26097.05,26067.55,26056.35,26063.95,8.20 (-0.03%),26110.43,6570000
