Instrument,Date,Time,Open,High,Low,Close,VWAP,Range,ClosePercent
NFO:NIFTY2641323900PE,2026-04-10,11:30,103.8,113.0,103.0,110.55,125.32,10.00,75.50
NFO:NIFTY2641323900PE,2026-04-10,11:35,110.55,116.7,108.65,112.85,124.97,8.05,52.17
NFO:NIFTY2641323900PE,2026-04-10,11:40,112.85,125.0,109.65,120.15,124.72,15.35,68.40
NFO:NIFTY2641323900PE,2026-04-10,11:45,120.25,120.25,110.05,111.0,124.48,10.20,9.31
NFO:NIFTY2641323900PE,2026-04-10,11:50,110.5,113.8,107.2,108.2,124.27,6.60,15.15
NFO:NIFTY2641323900PE,2026-04-10,11:55,108.2,110.5,100.1,100.5,124.03,10.40,3.85
NFO:NIFTY2641323900PE,2026-04-10,12:00,100.5,102.75,98.1,99.6,123.63,4.65,32.26
NFO:NIFTY2641323900PE,2026-04-10,12:05,99.6,101.6,97.65,100.1,123.34,3.95,62.03
NFO:NIFTY2641323900PE,2026-04-10,12:10,100.1,104.8,99.5,101.25,123.01,5.30,33.02
NFO:NIFTY2641323900PE,2026-04-10,12:15,101.65,104.65,95.1,95.1,122.74,9.55,0.00
NFO:NIFTY2641323900PE,2026-04-10,12:20,95.1,101.75,92.25,98.1,122.08,9.50,61.58
NFO:NIFTY2641323900PE,2026-04-10,12:25,98.1,99.65,95.75,99.05,121.67,3.90,84.62
NFO:NIFTY2641323900PE,2026-04-10,12:30,99.05,99.05,95.45,96.2,121.44,3.60,20.83
NFO:NIFTY2641323900PE,2026-04-10,12:35,96.2,100.6,94.8,100.6,121.23,5.80,100.00
NFO:NIFTY2641323900PE,2026-04-10,12:40,100.55,102.0,96.2,98.65,120.99,5.80,42.24
NFO:NIFTY2641323900PE,2026-04-10,12:45,98.65,103.5,98.4,99.9,120.74,5.10,29.41
NFO:NIFTY2641323900PE,2026-04-10,12:50,99.9,102.6,97.2,98.5,120.52,5.40,24.07
NFO:NIFTY2641323900PE,2026-04-10,12:55,98.5,99.35,95.0,96.15,120.33,4.35,26.44
NFO:NIFTY2641323900PE,2026-04-10,13:00,96.15,98.7,93.4,94.65,120.14,5.30,23.58
NFO:NIFTY2641323900PE,2026-04-10,13:05,94.65,102.7,94.5,101.15,119.90,8.20,81.10
NFO:NIFTY2641323900PE,2026-04-10,13:10,101.1,102.5,97.2,101.8,119.68,5.30,86.79
